id,garden_name,full_garden_name,qr_url,@qrcode_filename
00000,Earthly Friendships,The Garden of Earthly Friendships,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00000,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00000.png
00001,Sleeping Delights,The Garden of Sleeping Delights,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00001,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00001.png
00002,Calm Exchange,The Garden of Calm Exchange,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00002,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00002.png
00003,Gentle Contemplation,The Garden of Gentle Contemplation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00003,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00003.png
00004,Spindly Play,The Garden of Spindly Play,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00004,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00004.png
00005,Sprightly Utopia,The Garden of Sprightly Utopia,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00005,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00005.png
00006,Blubbly Balance,The Garden of Blubbly Balance,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00006,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00006.png
00007,Soft Soil,The Garden of Soft Soil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00007,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00007.png
00008,Slow Storms,The Garden of Slow Storms,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00008,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00008.png
00009,Free Societies,The Garden of Free Societies,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00009,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00009.png
00010,Harmonious Computation,The Garden of Harmonious Computation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00010,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00010.png
00011,Chaotic Biologies,The Garden of Chaotic Biologies,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00011,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00011.png
00012,Turbulent Networks,The Garden of Turbulent Networks,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00012,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00012.png
00013,Punctuated Systems,The Garden of Punctuated Systems,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00013,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00013.png
00014,Caring Structures,The Garden of Caring Structures,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00014,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00014.png
00015,Organized Theories,The Garden of Organized Theories,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00015,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00015.png
00016,Evolving Languages,The Garden of Evolving Languages,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00016,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00016.png
00017,Circular Loops,The Garden of Circular Loops,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00017,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00017.png
00018,Adaptive Seeds,The Garden of Adaptive Seeds,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00018,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00018.png
00019,Complex Pistil,The Garden of Complex Pistil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00019,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00019.png
00020,Windy Stamen,The Garden of Windy Stamen,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00020,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00020.png
00021,Rhizomatic Varieties,The Garden of Rhizomatic Varieties,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00021,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00021.png
00022,Dispersed Sunsets,The Garden of Dispersed Sunsets,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00022,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00022.png
00023,Energetic Vessels,The Garden of Energetic Vessels,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00023,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00023.png
00024,Symbiotic Leaves,The Garden of Symbiotic Leaves,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00024,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00024.png
00025,Mutualistic Repositories,The Garden of Mutualistic Repositories,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00025,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00025.png
00026,Flying Data,The Garden of Flying Data,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00026,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00026.png
00027,Gliding Streams,The Garden of Gliding Streams,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00027,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00027.png
00028,Circulating Friendships,The Garden of Circulating Friendships,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00028,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00028.png
00029,Collaborating Delights,The Garden of Collaborating Delights,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00029,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00029.png
